amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,scheme_name,category
100016,-2.23,1.29,2.88,HDFC Top 100 Fund - Regular Plan - Growth,Equity
100025,3.71,3.92,4.55,HDFC Short Term Debt Fund - Regular - Growth,Debt
100033,53.28,32.43,30.54,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity
101206,47.96,28.96,23.52,ABSL Frontline Equity Fund - Regular - Growth,Equity
101207,-24.0,-4.15,8.21,ABSL Small Cap Fund - Regular - Growth,Equity
101208,7.24,6.31,6.52,ABSL Liquid Fund - Regular - Growth,Debt
102885,20.22,19.66,17.95,UTI Nifty 50 Index Fund - Regular - Growth,Equity
102886,-16.81,-0.77,0.91,UTI Mid Cap Fund - Regular - Growth,Equity
102887,13.59,25.55,17.13,UTI Flexi Cap Fund - Regular - Growth,Equity
118632,34.01,22.65,24.09,Nippon India Large Cap Fund - Regular - Growth,Equity
118633,25.56,21.08,16.68,Nippon India Large Cap Fund - Direct - Growth,Equity
118634,15.82,8.01,16.48,Nippon India Small Cap Fund - Regular - Growth,Equity
118635,22.51,20.0,16.23,Nippon India ETF Nifty 50 BeES,Equity
118636,10.46,4.06,5.25,Nippon India Gilt Securities Fund - Regular - Growth,Debt
119092,1.61,0.53,6.53,Axis Bluechip Fund - Regular - Growth,Equity
119093,19.78,20.81,7.91,Axis Bluechip Fund - Direct - Growth,Equity
119094,22.28,35.1,28.34,Axis Midcap Fund - Regular - Growth,Equity
119095,-42.82,-11.7,1.09,Axis Small Cap Fund - Regular - Growth,Equity
119120,5.53,5.84,5.83,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt
119551,60.49,30.45,25.84,SBI Bluechip Fund - Regular Plan - Growth,Equity
119552,5.71,16.26,22.05,SBI Bluechip Fund - Direct Plan - Growth,Equity
119598,82.85,26.66,32.89,SBI Small Cap Fund - Regular Plan - Growth,Equity
119599,13.96,-1.34,2.5,SBI Small Cap Fund - Direct Plan - Growth,Equity
120503,8.5,13.97,18.68,ICICI Pru Bluechip Fund - Regular - Growth,Equity
120504,13.07,32.48,23.64,ICICI Pru Bluechip Fund - Direct - Growth,Equity
120505,29.63,31.77,33.46,ICICI Pru Midcap Fund - Regular - Growth,Equity
120506,41.85,18.42,17.08,ICICI Pru Value Discovery Fund - Regular - Growth,Equity
120507,7.43,7.39,7.23,ICICI Pru Liquid Fund - Regular - Growth,Debt
120841,16.85,17.26,13.45,Kotak Bluechip Fund - Regular - Growth,Equity
120842,22.52,7.75,6.29,Kotak Emerging Equity Fund - Regular - Growth,Equity
120843,26.68,29.58,30.39,Kotak Flexicap Fund - Regular - Growth,Equity
120844,7.13,6.69,6.91,Kotak Liquid Fund - Regular - Growth,Debt
125497,28.7,18.43,19.0,HDFC Top 100 Fund - Direct Plan - Growth,Equity
125498,15.46,11.24,11.44,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity
148567,20.38,33.99,30.43,Mirae Asset Large Cap Fund - Regular - Growth,Equity
148568,14.28,14.74,22.09,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity
148569,39.78,29.17,31.72,Mirae Asset Tax Saver Fund - Regular - Growth,Equity
149322,18.12,18.04,13.62,DSP Top 100 Equity Fund - Regular - Growth,Equity
149323,21.5,26.86,29.59,DSP Midcap Fund - Regular - Growth,Equity
149324,65.2,26.99,32.63,DSP Small Cap Fund - Regular - Growth,Equity
