amfi_code,scheme_name_x,fund_house_x,category_x,expense_ratio_pct_x,risk_category_x,cagr_3yr_pct,sharpe_ratio,ann_std_dev,sortino_ratio,alpha,beta,max_drawdown_pct,score_return,score_sharpe,score_alpha,score_expense,score_drawdown,composite_score,rank,scheme_name_y,fund_house_y,category_y,risk_category_y,expense_ratio_pct_y,risk_appetite
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,High,31.77,1.1801,19.29,2.0294,29.2636,0.0005,-18.1885,90.0,90.0,95.0,65.0,62.5,84.5,1,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1.36,Low
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,High,35.1,0.9982,19.41,1.7038,26.0767,-0.0663,-20.9609,100.0,75.0,80.0,60.0,70.0,80.75,2,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1.38,Low
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,High,32.43,1.0937,18.94,1.8291,27.1954,0.0051,-16.2172,92.5,85.0,87.5,60.0,50.0,80.5,3,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1.38,Low
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,Moderate,33.99,1.4483,14.19,2.3856,26.9838,0.0237,-11.2657,97.5,100.0,85.0,45.0,20.0,80.0,4,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1.46,Low
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,Moderately High,29.58,1.3067,15.89,2.3643,27.3305,-0.0228,-12.974,85.0,97.5,90.0,47.5,32.5,78.25,5,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1.45,Low
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,High,31.77,1.1801,19.29,2.0294,29.2636,0.0005,-18.1885,90.0,90.0,95.0,65.0,62.5,84.5,1,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1.36,Moderate
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,High,35.1,0.9982,19.41,1.7038,26.0767,-0.0663,-20.9609,100.0,75.0,80.0,60.0,70.0,80.75,2,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1.38,Moderate
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,High,32.43,1.0937,18.94,1.8291,27.1954,0.0051,-16.2172,92.5,85.0,87.5,60.0,50.0,80.5,3,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1.38,Moderate
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,Moderate,33.99,1.4483,14.19,2.3856,26.9838,0.0237,-11.2657,97.5,100.0,85.0,45.0,20.0,80.0,4,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1.46,Moderate
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,Moderately High,29.58,1.3067,15.89,2.3643,27.3305,-0.0228,-12.974,85.0,97.5,90.0,47.5,32.5,78.25,5,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1.45,Moderate
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,High,31.77,1.1801,19.29,2.0294,29.2636,0.0005,-18.1885,90.0,90.0,95.0,65.0,62.5,84.5,1,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,1.36,High
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,High,35.1,0.9982,19.41,1.7038,26.0767,-0.0663,-20.9609,100.0,75.0,80.0,60.0,70.0,80.75,2,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,1.38,High
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,High,32.43,1.0937,18.94,1.8291,27.1954,0.0051,-16.2172,92.5,85.0,87.5,60.0,50.0,80.5,3,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,High,1.38,High
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,Moderate,33.99,1.4483,14.19,2.3856,26.9838,0.0237,-11.2657,97.5,100.0,85.0,45.0,20.0,80.0,4,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,1.46,High
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,Moderately High,29.58,1.3067,15.89,2.3643,27.3305,-0.0228,-12.974,85.0,97.5,90.0,47.5,32.5,78.25,5,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderately High,1.45,High
