amfi_code,scheme_name,fund_house,category,expense_ratio_pct,risk_category,cagr_3yr_pct,sharpe_ratio,ann_std_dev,sortino_ratio,alpha,beta,max_drawdown_pct,score_return,score_sharpe,score_alpha,score_expense,score_drawdown,composite_score,rank
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,High,31.77,1.1801,19.29,2.0294,29.2636,0.0005,-18.1885,90.0,90.0,95.0,65.0,62.5,84.5,1
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,High,35.1,0.9982,19.41,1.7038,26.0767,-0.0663,-20.9609,100.0,75.0,80.0,60.0,70.0,80.75,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,High,32.43,1.0937,18.94,1.8291,27.1954,0.0051,-16.2172,92.5,85.0,87.5,60.0,50.0,80.5,3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,Moderate,33.99,1.4483,14.19,2.3856,26.9838,0.0237,-11.2657,97.5,100.0,85.0,45.0,20.0,80.0,4
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,Moderately High,29.58,1.3067,15.89,2.3643,27.3305,-0.0228,-12.974,85.0,97.5,90.0,47.5,32.5,78.25,5
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,Moderate,32.48,1.0265,14.36,1.8053,21.1948,0.0162,-12.5883,95.0,77.5,70.0,72.5,30.0,75.75,6
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,Very High,26.66,0.9453,25.14,1.6753,30.337,-0.0232,-28.706,72.5,67.5,100.0,50.0,90.0,75.12,7
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,Very High,26.99,0.9498,24.84,1.6198,30.0579,0.0115,-31.1719,77.5,70.0,97.5,36.25,92.5,74.94,8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,High,29.17,1.2349,17.67,2.1469,28.2704,0.0181,-16.3967,82.5,95.0,92.5,11.25,52.5,73.94,9
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,Moderate,30.45,1.2083,13.74,2.1403,23.201,-0.0318,-15.0124,87.5,92.5,77.5,26.25,42.5,73.06,10
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.51,Moderate,22.65,1.0817,14.15,1.8501,21.8294,-0.0084,-17.4141,67.5,82.5,75.0,41.25,57.49999999999999,67.81,11
