amfi_code,hhi_score,n_sectors,concentration,scheme_name
119092,2064.89,7,Moderate,Axis Bluechip Fund - Regular - Growth
101207,2007.41,6,Moderate,ABSL Small Cap Fund - Regular - Growth
119599,1747.51,7,Moderate,SBI Small Cap Fund - Direct Plan - Growth
102885,1747.09,8,Moderate,UTI Nifty 50 Index Fund - Regular - Growth
118632,1682.31,6,Moderate,Nippon India Large Cap Fund - Regular - Growth
148568,1679.63,6,Moderate,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120505,1575.07,7,Moderate,ICICI Pru Midcap Fund - Regular - Growth
120506,1537.32,7,Moderate,ICICI Pru Value Discovery Fund - Regular - Growth
125498,1524.14,6,Moderate,HDFC Mid-Cap Opportunities Fund - Direct - Growth
120841,1496.5,7,Low,Kotak Bluechip Fund - Regular - Growth
148569,1494.56,7,Low,Mirae Asset Tax Saver Fund - Regular - Growth
100033,1475.92,7,Low,HDFC Mid-Cap Opportunities Fund - Regular - Growth
149323,1416.21,7,Low,DSP Midcap Fund - Regular - Growth
120503,1408.7,7,Low,ICICI Pru Bluechip Fund - Regular - Growth
100016,1395.34,8,Low,HDFC Top 100 Fund - Regular Plan - Growth
148567,1386.12,6,Low,Mirae Asset Large Cap Fund - Regular - Growth
125497,1365.86,7,Low,HDFC Top 100 Fund - Direct Plan - Growth
119094,1363.79,6,Low,Axis Midcap Fund - Regular - Growth
118635,1359.71,6,Low,Nippon India ETF Nifty 50 BeES
149322,1344.25,7,Low,DSP Top 100 Equity Fund - Regular - Growth
119093,1308.94,8,Low,Axis Bluechip Fund - Direct - Growth
102887,1297.79,6,Low,UTI Flexi Cap Fund - Regular - Growth
101206,1293.06,7,Low,ABSL Frontline Equity Fund - Regular - Growth
120843,1286.83,9,Low,Kotak Flexicap Fund - Regular - Growth
120842,1274.64,8,Low,Kotak Emerging Equity Fund - Regular - Growth
118633,1214.61,7,Low,Nippon India Large Cap Fund - Direct - Growth
119551,1187.16,8,Low,SBI Bluechip Fund - Regular Plan - Growth
149324,1186.77,9,Low,DSP Small Cap Fund - Regular - Growth
102886,1147.39,10,Low,UTI Mid Cap Fund - Regular - Growth
119095,1096.27,8,Low,Axis Small Cap Fund - Regular - Growth
120504,1086.52,8,Low,ICICI Pru Bluechip Fund - Direct - Growth
118634,1083.58,8,Low,Nippon India Small Cap Fund - Regular - Growth
119552,1079.89,7,Low,SBI Bluechip Fund - Direct Plan - Growth
119598,1073.7,7,Low,SBI Small Cap Fund - Regular Plan - Growth
