investor_id,num_sips,avg_gap_days,avg_amount,total_sip,at_risk
INV000004,6,85.4,8042.666666666667,48256,True
INV000008,6,70.4,12142.166666666666,72853,True
INV000010,6,64.8,5363.833333333333,32183,True
INV000011,7,40.2,13417.142857142857,93920,True
INV000012,8,57.0,5017.375,40139,True
INV000013,7,55.3,10801.857142857143,75613,True
INV000014,7,75.3,20045.0,140315,True
INV000023,8,58.6,25316.125,202529,True
INV000028,6,93.6,14043.666666666666,84262,True
INV000029,7,60.7,12858.857142857143,90012,True
INV000030,9,47.6,8496.666666666666,76470,True
INV000033,8,45.6,5754.125,46033,True
INV000039,6,68.6,16556.333333333332,99338,True
INV000045,6,70.6,19073.0,114438,True
INV000048,9,46.0,4480.777777777777,40327,True
INV000052,6,36.2,4063.0,24378,True
INV000056,6,74.8,10162.833333333334,60977,True
INV000057,8,49.7,11363.375,90907,True
INV000069,10,49.1,15605.4,156054,True
INV000072,6,83.0,8228.666666666666,49372,True
INV000073,9,48.2,12612.111111111111,113509,True
INV000074,8,72.6,13333.625,106669,True
INV000075,6,74.8,24626.833333333332,147761,True
INV000076,6,91.8,8485.0,50910,True
INV000079,6,65.8,7026.666666666667,42160,True
INV000081,7,81.3,7814.857142857143,54704,True
INV000082,7,83.7,3942.0,27594,True
INV000086,10,44.7,8122.1,81221,True
INV000087,6,92.8,17548.0,105288,True
INV000091,8,44.0,6891.75,55134,True
INV000093,7,55.5,20216.428571428572,141515,True
INV000094,6,44.8,8321.333333333334,49928,True
INV000095,6,69.4,15470.5,92823,True
INV000097,7,54.5,22158.14285714286,155107,True
INV000101,8,65.0,14100.25,112802,True
INV000102,8,65.3,14259.25,114074,True
INV000103,6,83.4,3445.8333333333335,20675,True
INV000105,8,57.0,10863.875,86911,True
INV000109,9,46.2,7516.777777777777,67651,True
INV000113,8,46.0,10543.625,84349,True
INV000123,7,59.7,16233.285714285714,113633,True
INV000128,6,82.0,6378.833333333333,38273,True
INV000131,7,56.0,14600.142857142857,102201,True
INV000132,6,71.0,14733.833333333334,88403,True
INV000133,6,88.2,12449.166666666666,74695,True
INV000138,6,76.2,26011.0,156066,True
INV000145,6,89.4,21172.333333333332,127034,True
INV000146,6,66.8,14769.666666666666,88618,True
INV000148,9,52.0,10001.333333333334,90012,True
INV000155,7,37.3,8218.57142857143,57530,True
INV000161,7,73.0,6326.714285714285,44287,True
INV000163,8,61.0,7283.875,58271,True
INV000164,6,61.8,4208.833333333333,25253,True
INV000169,7,67.8,6958.285714285715,48708,True
INV000173,7,57.7,11198.142857142857,78387,True
INV000175,7,83.7,10188.57142857143,71320,True
INV000177,8,65.4,6440.0,51520,True
INV000180,6,61.8,2654.0,15924,True
INV000183,9,56.1,9560.0,86040,True
INV000191,7,56.5,9808.0,68656,True
INV000194,7,58.0,8836.714285714286,61857,True
INV000195,6,77.4,3623.1666666666665,21739,True
INV000196,7,69.0,11526.42857142857,80685,True
INV000201,9,51.1,10919.777777777777,98278,True
INV000205,8,62.6,9011.375,72091,True
INV000210,8,70.7,11696.5,93572,True
INV000214,6,94.8,11226.166666666666,67357,True
INV000217,6,92.0,7357.666666666667,44146,True
INV000228,9,59.8,26575.11111111111,239176,True
INV000236,8,67.1,14027.125,112217,True
INV000238,6,93.6,24403.666666666668,146422,True
INV000239,8,48.9,20161.5,161292,True
INV000243,6,88.2,9690.833333333334,58145,True
INV000245,6,92.2,7670.5,46023,True
INV000249,7,45.5,27822.714285714286,194759,True
INV000252,6,50.4,17188.0,103128,True
INV000255,6,48.6,5775.5,34653,True
INV000256,6,70.2,5317.0,31902,True
INV000259,6,70.6,13656.333333333334,81938,True
INV000260,8,59.6,17454.125,139633,True
INV000262,8,53.6,5901.125,47209,True
INV000263,8,68.4,19709.75,157678,True
INV000265,10,53.4,20343.3,203433,True
INV000268,7,62.3,11372.142857142857,79605,True
INV000279,9,43.4,6847.0,61623,True
INV000280,9,55.8,16132.666666666666,145194,True
INV000283,6,68.0,4060.3333333333335,24362,True
INV000287,7,69.8,9193.0,64351,True
INV000289,8,62.7,10205.0,81640,True
INV000291,6,89.0,12696.333333333334,76178,True
INV000292,7,46.0,17665.14285714286,123656,True
INV000293,7,47.0,10082.0,70574,True
INV000297,6,90.6,3723.0,22338,True
INV000299,6,85.2,7592.833333333333,45557,True
INV000304,7,70.0,11364.857142857143,79554,True
INV000309,8,52.0,7893.25,63146,True
INV000310,7,75.8,6624.0,46368,True
INV000318,6,97.4,11621.0,69726,True
INV000319,7,73.5,5734.714285714285,40143,True
INV000321,7,72.8,13032.142857142857,91225,True
INV000328,9,37.5,7141.444444444444,64273,True
INV000331,8,50.7,15547.25,124378,True
