amfi_code,sortino_ratio,downside_std
100016,-0.351,8.35
100025,-0.9418,2.35
100033,1.8291,11.32
101206,1.7996,8.32
101207,0.2766,15.17
101208,-1.681,0.25
102885,1.4357,7.31
102886,-0.3472,10.75
102887,1.0888,8.97
118632,1.8501,8.27
118633,1.1545,7.82
118634,0.746,15.17
118635,1.138,7.59
118636,-0.6135,2.32
119092,0.0526,8.17
119093,0.2211,8.2
119094,1.7038,11.37
119095,-0.1282,14.86
119120,-0.3768,2.39
119551,2.1403,7.76
119552,1.6098,8.25
119598,1.6753,14.19
119599,-0.0944,15.12
120503,1.3379,8.28
120504,1.8053,8.17
120505,2.0294,11.22
120506,1.0959,9.02
120507,1.0521,0.23
120841,0.8626,7.72
120842,0.1247,10.91
120843,2.3643,8.78
120844,-0.1877,0.24
125497,1.3307,8.55
125498,0.5088,10.84
148567,2.3856,8.62
148568,1.6327,8.75
148569,2.1469,10.17
149322,0.7621,8.74
149323,1.8751,10.71
149324,1.6198,14.57
