amfi_code,var_95_pct,cvar_95_pct,var_99_pct,cvar_99_pct,n_days,scheme_name,category
100016,-1.4364,-1.806,-2.0392,-2.2138,1149,HDFC Top 100 Fund - Regular Plan - Growth,Equity
100025,-0.3793,-0.4994,-0.5832,-0.6963,1149,HDFC Short Term Debt Fund - Regular - Growth,Debt
100033,-1.9034,-2.3456,-2.5443,-3.0326,1149,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity
101206,-1.3282,-1.7439,-1.9648,-2.4748,1149,ABSL Frontline Equity Fund - Regular - Growth,Equity
101207,-2.6021,-3.2459,-3.7071,-4.2086,1149,ABSL Small Cap Fund - Regular - Growth,Equity
101208,-0.0269,-0.0422,-0.0527,-0.062,1149,ABSL Liquid Fund - Regular - Growth,Debt
102885,-1.2613,-1.549,-1.7732,-1.9205,1149,UTI Nifty 50 Index Fund - Regular - Growth,Equity
102886,-1.922,-2.3251,-2.5472,-2.903,1149,UTI Mid Cap Fund - Regular - Growth,Equity
102887,-1.5232,-1.9411,-2.2572,-2.4905,1149,UTI Flexi Cap Fund - Regular - Growth,Equity
118632,-1.3954,-1.7619,-1.9392,-2.2569,1149,Nippon India Large Cap Fund - Regular - Growth,Equity
118633,-1.3443,-1.663,-1.9226,-2.1553,1149,Nippon India Large Cap Fund - Direct - Growth,Equity
118634,-2.5438,-3.2304,-3.5476,-4.2408,1149,Nippon India Small Cap Fund - Regular - Growth,Equity
118635,-1.2554,-1.6177,-1.8942,-2.1492,1149,Nippon India ETF Nifty 50 BeES,Equity
118636,-0.3804,-0.4919,-0.5504,-0.6518,1149,Nippon India Gilt Securities Fund - Regular - Growth,Debt
119092,-1.375,-1.7328,-2.0292,-2.1422,1149,Axis Bluechip Fund - Regular - Growth,Equity
119093,-1.4226,-1.7487,-1.9294,-2.2527,1149,Axis Bluechip Fund - Direct - Growth,Equity
119094,-1.848,-2.426,-2.7514,-3.2009,1149,Axis Midcap Fund - Regular - Growth,Equity
119095,-2.6188,-3.1667,-3.4203,-3.9845,1149,Axis Small Cap Fund - Regular - Growth,Equity
119120,-0.3938,-0.5014,-0.546,-0.6604,1149,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt
119551,-1.2846,-1.6397,-1.7875,-2.179,1149,SBI Bluechip Fund - Regular Plan - Growth,Equity
119552,-1.3501,-1.7336,-2.0713,-2.2908,1149,SBI Bluechip Fund - Direct Plan - Growth,Equity
119598,-2.4507,-3.0595,-3.3403,-3.8839,1149,SBI Small Cap Fund - Regular Plan - Growth,Equity
119599,-2.6859,-3.2384,-3.6078,-3.9993,1149,SBI Small Cap Fund - Direct Plan - Growth,Equity
120503,-1.355,-1.7451,-1.9885,-2.2721,1149,ICICI Pru Bluechip Fund - Regular - Growth,Equity
120504,-1.3728,-1.7494,-1.9416,-2.2149,1149,ICICI Pru Bluechip Fund - Direct - Growth,Equity
120505,-1.8892,-2.4342,-2.7518,-3.185,1149,ICICI Pru Midcap Fund - Regular - Growth,Equity
120506,-1.4388,-1.9405,-2.2091,-2.5915,1149,ICICI Pru Value Discovery Fund - Regular - Growth,Equity
120507,-0.0222,-0.0373,-0.0508,-0.057,1149,ICICI Pru Liquid Fund - Regular - Growth,Debt
120841,-1.3142,-1.6363,-1.864,-2.0092,1149,Kotak Bluechip Fund - Regular - Growth,Equity
120842,-1.8219,-2.2725,-2.5667,-2.975,1149,Kotak Emerging Equity Fund - Regular - Growth,Equity
120843,-1.4508,-1.8381,-2.0148,-2.4241,1149,Kotak Flexicap Fund - Regular - Growth,Equity
120844,-0.0285,-0.0411,-0.0506,-0.0591,1149,Kotak Liquid Fund - Regular - Growth,Debt
125497,-1.4592,-1.831,-1.9818,-2.4924,1149,HDFC Top 100 Fund - Direct Plan - Growth,Equity
125498,-1.8365,-2.3094,-2.5098,-3.0434,1149,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity
148567,-1.356,-1.7623,-2.0138,-2.3998,1149,Mirae Asset Large Cap Fund - Regular - Growth,Equity
148568,-1.4712,-1.8765,-2.1351,-2.289,1149,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity
148569,-1.7118,-2.1328,-2.4551,-2.7427,1149,Mirae Asset Tax Saver Fund - Regular - Growth,Equity
149322,-1.4474,-1.8402,-1.9471,-2.4688,1149,DSP Top 100 Equity Fund - Regular - Growth,Equity
149323,-1.7882,-2.2607,-2.6259,-2.8325,1149,DSP Midcap Fund - Regular - Growth,Equity
149324,-2.3483,-3.1036,-3.679,-4.0836,1149,DSP Small Cap Fund - Regular - Growth,Equity
